sentence_id,language_code,sentence
2121959,bel,"ты ведаеш, як абясшкодзіць бомбу?"
8348017,bel,"з момант я глядзеў на іколу, астаючыся сам незаўважаным."
6599475,bel,у сімферопалі адкрыецца музычная школа.
574551,bel,ты не можаш разлічваць на яе дапамогу.
400653,bel,"калі б я мог паслаць табе зефур, чан, я б гэта зрабіў."
679550,bel,солвы кшталту сэксізм зараз у модзе.
574535,bel,ці не маеш папіць чаго гарачага?
7707844,bel,"я не ведаю, шчаслівая ты ці не."
12014802,bel,якім тэкставым рэдактарам ты карыстаешся?
1518269,bel,у кнізе зменаў прадстаўленае настаражытнейшае дваічнае кадаванне.
7971291,bel,мне трэба адрамантаваць гэту рыдлёўку.
574542,bel,"звычайна, я ў магазіне армані, купляю касцюм,адказаў дзіма."
4099043,bel,вера ніколі не забудзе цаган сар у элісце.
566815,bel,нам заўсёды трэба трымаць сваё слова.
1171367,bel,пра. кепскае надворе самалёт спазніўся.
2806725,bel,"я чыліец. я нарадзіўся, жыў і памёр чылійцам."
6147690,bel,вось чаму ў мяне няма аніякіх сяброў.
11534195,bel,том апрануты ў шэры гарнітур з чырвоным гальштукам.
2739476,bel,"я закахалася ў яе ў той самы момант, калі яе сустрэла."
2737581,bel,я буду гуляць у судоку і не буду далей траціць на цябе час.
4017810,bel,"мяне аднойчы па тэлебачанні паказвалі, алі гэтаму ніхто не верыць."
2664376,bel,"я не ўпэўненая, што хачу на гэта глядзець."
478409,bel,нямецкая найлепшая з моваў у свеце.
3297579,bel,"у працы таварыша сталіна па пытаннях мовазнаўства дадзена разгорнутая крытыка ідэалізму, што адрывае думку не толькі ад яе мазгавога субстрату, ал і ад яе моўных форм, ад прыроднай матэрыі мовы."
8275264,bel,"я не казала, што хачу гэта зрабіць."
389930,bel,дыснэйлэнд быў пабудаваны ў тысяча дзевяцьсот пяцьдзесят пятым годзе.
2611614,bel,"том не быў гомасэксуалам, але сябры тома сказалі яго дзяўчыне, шт ён гей."
1722508,bel,"я не зразумеў ні сказа з таго, што ён гаварыў."
5889195,bel,"ніхто не ведаў, што фадзіль перайшоў у іслам."
8357132,bel,сэрца ў данілы холадам сціснулася.
7220354,bel,вы размаўляеце папартугальску?
12049967,bel,у францыі спажываюць вельмі шмат віна.
1499792,bel,вы размаўляеце на шанхайскім дыяелкце?
2978963,bel,"правіла. назвы гарадоў і краін ужываюцца без артыкля. у р. скл. яны прыймаюць канчатаи s, у іншых склонах не прыймаюць ніякага канчатка."
2611528,bel,усе людзі на зямлі паходзяць ад агульнага продка.
5876608,bel,міліцыянеры ўбачылі фадзіля ў суседнім парку.
6197799,bel,адно прозвішча з спіса здалося мнù знаёмым.
677790,bel,гэтая жанчына чытае паангельску.
4008009,bel,"я бачыла, як ты яго цалаваў. не адмаўляй гэтага!"
11751714,bel,"вераніка амаль забыла пра алжыр, але яна дагэтуль часта яго сніла."
477066,bel,пакістан мусульманская краіна.
